;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VP-BIO ;Boeing 737-7CT(WL); Y148 ; 31 May 2019 ;lsd ;; 15.1 Years ;;
; VQ-BIP ;Boeing 737-76N(WL); Y148 ; 5 Nov 2020 ; Parked, lsd ;; 16 Years ;;
; VQ- ;Boeing 737-783(WL);; Due ; Stored, lsd ;; 12.3 Years ;;
; VP-BDG ;Boeing 737-8Q8(WL);; 13 Jul 2021 ;lsd ;; 17.9 Years ;;
; VP-BVE ;Boeing 737-86N(WL); C4Y162 ; 22 Apr 2016 ;lsd ;; 19.7 Years ;;
; VQ-BIZ ;Boeing 737-86N(WL); C4Y162 ; 23 Dec 2016 ; Parked, lsd ;; 20.8 Years ;;
; VQ-BMP ;Boeing 737-86N(WL); C4Y162 ; 28 Jan 2011 ; Parked ;; 22 Years ;;
; VP-BNS ;De Havilland Canada DHC-8-314Q Dash 8; Y50 ; 17 Jul 2019 ;lsd ;; 24.6 Years ;;
; VQ-BVH ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 6 Oct 2015 ; Parked, lsd ;; 26.8 Years ;;
; VQ-BVI ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 5 Aug 2014 ; Parked, lsd ;; 27.9 Years ;;
; VQ-BVJ ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 11 Sep 2014 ; Parked, lsd ;; 27.8 Years ;;
; RA-89012 ;Sukhoi Superjet 100-95B; C8Y85 ; 31 Jan 2013 ; Parked, lsd ; Роман Дмитриев ; 9.3 Years ;;
; RA-89021 ;Sukhoi Superjet 100-95B; C8Y85 ; 10 Jun 2016 ; Parked, lsd ;; 9.7 Years ;;
; RA-89035 ;Sukhoi Superjet 100-95LR; Y103 ; 16 Aug 2019 ; Parked, lsd, Blue cs ; Василий Манчаары / Манчаары Баһылай ; 7.6 Years ;;
; RA-89037 ;Sukhoi Superjet 100-95LR; Y103 ; 1 Feb 2017 ;;; 7.3 Years ;;
; RA-89038 ;Sukhoi Superjet 100-95LR; Y103 ; 14 Oct 2016 ;lsd ;; 7.3 Years ;;
