;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; PR-PDP ;ATR 42-500; Y48 ; 18 Dec 2019 ;opby MAP Linhas Aéreas ;; 22.5 Years ;;
; PR-PDS ;ATR 42-500; Y48 ; 24 Mar 2020 ;opby MAP Linhas Aéreas ;; 23.8 Years ;;
; PT-MFE ;ATR 42-300; Y48 ; 21 Aug 2019 ;opby MAP Linhas Aéreas ;; 30 Years ;;
; PP-PTM ;ATR 72-500 (72-212A); Y68 ; 21 Aug 2019 ;lsd ; Curió ; 13.7 Years ;;
; PP-PTN ;ATR 72-500 (72-212A); Y74 ; 21 Aug 2019 ;lsd ; Jaçana ; 13.3 Years ;;
; PP-PTO ;ATR 72-500 (72-212A); Y74 ; 21 Aug 2019 ;lsd ; Araponga ; 13.3 Years ;;
; PP-PTP ;ATR 72-500 (72-212A); Y74 ; 21 Aug 2019 ;lsd ; Tuiuiu ; 12.9 Years ;;
; PP-PTQ ;ATR 72-500 (72-212A); Y74 ; 21 Aug 2019 ;lsd ; Quero-Quero ; 12.7 Years ;;
; PR-MPY ;ATR 72-202; Y66 ; 21 Aug 2019 ;opby MAP Linhas Aéreas ;; 24.1 Years ;;
; PR-MPZ ;ATR 72-202; Y66 ; 21 Aug 2019 ;opby MAP Linhas Aéreas ;; 24 Years ;;
; PR-PDL ;ATR 72-600 (72-212A); Y74 ; 22 Oct 2019 ;lsd ; Bem-Te-Vi ; 9.1 Years ;;
; PR-PDN ;ATR 72-600 (72-212A); Y74 ; 31 Oct 2019 ;lsd ; Pica-Pau ; 8.5 Years ;;
; PR-PDO ;ATR 72-600 (72-212A); Y70 ; 16 Jan 2020 ;lsd ; Canário ; 6.2 Years ;;
; PR-PDQ ;ATR 72-500 (72-212A); Y68 ; Due ; Stored, lsd ;; 14 Years ;;
; PR-PDT ;ATR 72-500 (72-212A); Y68 ; 12 Mar 2020 ;lsd ; Tucano ; 14.2 Years ;;
