;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PK-VTA ;British Aerospace 146-100A; Y83 ; 4 Sep 2009 ; Feb 2014 ;RP-C8538 SkyJet Airlines ;;;
; PK-VTM ;British Aerospace 146-100; Y83 ; 13 Nov 2008 ; Nov 2012 ; Scrapped ;;;
; PK-VTN ;British Aerospace 146-100;; Jan 2013 ; Oct 2015 ;RP-C5255 SkyJet Airlines ;;;
