;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; 7T-VJA ;Airbus A330-202; C18W14Y219 ; 30 Mar 2015 ;;; 7 Years ;;;
; 7T-VJB ;Airbus A330-202; C18W14Y219 ; 29 May 2015 ;;; 6.9 Years ;;;
; 7T-VJC ;Airbus A330-202; C18W14Y219 ; 30 Jun 2015 ;;; 6.7 Years ;;;
; 7T-VJV ;Airbus A330-202; F12C40Y211 ; 26 Jan 2005 ;; Tinhinan ; 17.2 Years ;;;
; 7T-VJW ;Airbus A330-202; F12C40Y211 ; 14 Feb 2005 ; Parked ; Lalla Setti ; 17.1 Years ;;;
; 7T-VJX ;Airbus A330-202; F12C40Y211 ; 25 Feb 2005 ;; Mers el Kebir ; 17.1 Years ;;;
; 7T-VJY ;Airbus A330-202; F12C40Y211 ; 15 Mar 2005 ;; Monts des Beni Chougrane / جبال بني شقران ; 17.1 Years ;;;
; 7T-VJZ ;Airbus A330-202; F12C40Y211 ; 1 Jun 2005 ;; Teddis ; 16.9 Years ;;;
; 7T-VUI ;ATR 72-500 (72-212A); Y66 ; 21 Nov 2003 ;;; 21.6 Years ;;;
; 7T-VUJ ;ATR 72-500 (72-212A); Y66 ; 18 Dec 2003 ; Parked ;; 21.4 Years ;;;
; 7T-VUK ;ATR 72-500 (72-212A); Y66 ; 18 Dec 2003 ; Parked ;; 21.2 Years ;;;
; 7T-VUL ;ATR 72-500 (72-212A); Y66 ; 17 Feb 2004 ; Parked ;; 20.7 Years ;;;
; 7T-VUM ;ATR 72-500 (72-212A); Y66 ; 26 Nov 2003 ; Parked ;; 20.4 Years ;;;
; 7T-VUN ;ATR 72-500 (72-212A); Y66 ; 19 Dec 2003 ;;; 19.9 Years ;;;
; 7T-VUO ;ATR 72-500 (72-212A); Y66 ; 11 Feb 2010 ; Parked ;; 12.1 Years ;;;
; 7T-VUP ;ATR 72-500 (72-212A); Y66 ; 25 Feb 2010 ; Parked ;; 12 Years ;;;
